0,763.912048,2407.429932,496.932007
0.009997,766.539978,2356.75,495.786987
0.020036,770.287964,2269.380127,500.859009
0.029989,772.434998,2204.809814,495.002014
0.040029,774.049988,2122.48999,498.109009
0.050017,773.573975,2044.470093,496.404999
0.060001,775.346008,1986.809937,486.21402
0.069997,777.235962,1930.630005,476.182983
0.08003,780.184998,1927.060059,442.917999
0.108994,784.259949,1678.930054,432.074982
0.119012,784.877014,1604.769897,419.757996
0.129023,786.652954,1572.090088,398.721008
0.139095,789.524963,1514.829956,383.080017
0.14901,790.690002,1472.709961,357.723999
0.159004,791.118042,1405.699951,342.565002
0.169099,793.137024,1340.400024,325.951996
0.179091,793.415039,1277.189941,309.604004
0.189079,793.819031,1265.079956,269.027008
0.199003,797.247009,1157.630005,269.786011
0.209064,800.261963,1091.040039,246.227997
0.217983,799.833984,1023.530029,231.839005
0.238012,799.916992,961.332031,158.425995
0.25801,806.671997,830.600037,116.034004
0.26801,804.869995,781.790955,87.4972
0.27801,804.701965,734.95697,55.127098
0.288012,806.846985,671.835022,27.675901
0.29801,809.858948,635.505981,50.768101
0.307989,810.281006,607.847961,74.933296
0.318056,809.09198,580.519958,98.721695
0.328018,811.094971,529.234009,131.896011
0.338079,812.455994,496.104004,154.460999
0.348026,812.969055,448.02298,185.535995
0.358022,812.914001,416.963989,206.705002
0.368016,815.069946,378.929993,229.395004
0.397011,814.536987,293.162994,275.458008
0.407014,814.901978,252.261017,295.881012
0.417013,815.977966,226.033005,304.85202
0.427066,817.927002,193.809006,316.671997
0.437027,818.283997,155.985992,334.152008
0.447039,818.854004,125.410004,343.806
0.457039,821.257996,83.796501,358.700989
0.46704,820.950989,43.072998,373.333984
0.477037,821.097046,9.44212,381.858002
0.487025,823.594971,-23.447201,388.830017
0.497009,822.872986,-50.030399,391.494019
0.507033,823.754028,-86.709602,399.255981
0.536013,827.424988,-176.171005,405.661987

0,814.450989,2352.72998,501.93399
0.010063,815.208008,2265.429932,510.546997
0.019995,819.723999,2163.26001,517.796997
0.029998,823.046021,2154.52002,497.653015
0.040013,827.382996,2057.620117,502.278992
0.050025,828.67804,1999.050049,494.302979
0.060017,833.934021,1941.780029,486.53299
0.070011,838.347046,1823.779907,494.114014
0.089001,844.953003,1737.900024,459.899017
0.099009,847.639038,1644.920044,457.752991
0.109009,852.349976,1599.079956,439.825012
0.118987,852.52002,1539.849976,426.174011
0.128984,856.036011,1510.830078,398.604004
0.139012,861.966003,1428.050049,393.222992
0.149005,862.707947,1387.310059,370.274994
0.159003,866.33905,1336,347.281006
0.169002,868.47699,1260.609985,336.720001
0.179019,871.247009,1200.719971,316.419983
0.189013,874.670959,1154.180054,290.554993
0.199017,878.773987,1120.02002,259.049011
0.209091,882.09198,998.237,267.944977
0.258,895.910034,751.626038,125.717995
0.268024,898.314026,687.065002,103.889
0.288034,904.546021,581.867981,43.498199
0.30802,905.050964,531.828003,69.927902
0.317998,905.272034,497.947021,97.1604
0.328101,905.506042,465.346985,120.038002
0.358022,904.281982,350.169006,197.621994
0.37801,906.888,272.127014,241.501007
0.407016,906.315979,192.952011,279.213013
0.417035,907.973999,155.037994,295.774994
0.427038,908.200989,130.468994,304.460999
0.437021,907.253967,94.418396,317.187988
0.447014,909.497986,53.422501,332.470001
0.457028,907.940979,13.584599,348.738983
0.467027,909.506042,-19.391199,357.472015
0.477067,909.835999,-62.447102,371.324005
0.48703,910.14801,-82.972496,371.423004
0.497037,912.255005,-108.476997,372.769012
0.507047,910.799988,-133.563004,372.649994
0.517013,912.294983,-163.200012,375.098999

0,293.436005,1894.780029,611.685974
0.009913,299.47998,1854.699951,607.114014
0.019922,294.907013,1844.780029,589.708984
0.029896,300.509979,1788.570068,583.838989
0.039999,306.872986,1719.400024,581.419006
0.04998,307.287018,1679.47998,572.737
0.059912,307.289978,1658.25,553.742004
0.06992,309.942017,1607.820068,542.182007
0.08001,319.003998,1546.170044,533.835022
0.089926,324.25,1485.389893,524.044006
0.109918,327.850983,1395.429932,492.106995
0.118889,329.731995,1351.27002,477.61499
0.128898,337.291992,1298.030029,462.326996
0.148892,341.910004,1206.329956,421.947998
0.159023,342.80899,1167.320068,400.498993
0.168931,346.677979,1130.310059,376.955017
0.179004,354.721985,1061.390015,360.933014
0.188931,356.184021,1014.019958,342.309998
0.198926,352.627014,1000.679993,306.603027
0.208993,358.720001,934.507996,292.315002
0.21894,361.55899,902.72699,262.187988
0.228929,365.928009,850.630005,238.766006
0.23901,370.019989,800.309021,213.634995
0.249019,372.256012,769.932983,180.940002
0.287935,378.404999,627.107971,44.900303
0.297956,383.751007,572.417969,20.6821
0.307931,389.385986,526.440979,61.871101
0.317922,387.123993,514.474976,82.214195
0.327937,394.001984,470.418976,121.524994
0.337926,393.042999,460.449982,138.494995
0.34802,397.244019,426.424011,168.666
0.357918,396.993988,408.338013,189.23999
0.36801,399.655029,375.024994,218.501999
0.378024,402.709991,351.391998,239.460007
0.387929,406.115997,320.531982,262.05899
0.398015,410.414001,282.927979,290.755005
0.407958,415.468994,247.195999,313.520996
0.41802,414.684998,231.643005,327.010986
0.43693,420.289001,177.212006,359.425018
0.446971,423.042999,150.352997,376.188995
0.456936,424.674988,131.231995,383.302979
0.466982,428.237,93.224396,401.977997
0.477017,427.572998,86.515297,405.061005
0.48693,431.036011,49.770199,423.121002
0.496967,431.759003,37.968899,424.117004
0.506997,437.707001,-2.7999,441.207001
0.517028,439.434998,-25.3258,447.138
0.527014,441.006012,-47.729298,451.743988
0.537023,447.411011,-85.459206,463.5
0.546949,448.648987,-106.829002,465.093994

0,796.786011,2406.800049,498.10202
0.009998,799.477966,2377.409912,489.758026
0.020026,803.830017,2250.689941,505.100006
0.029966,804.596008,2222.75,491.088989
0.039968,807.203979,2123.280029,495.85199
0.049969,808.355957,2114.559814,475.843018
0.070035,814.942017,1980.01001,462.197998
0.080004,817.067993,1892.22998,460.290009
0.098987,823.454956,1786.800049,434.658997
0.108984,823.53595,1707.939941,426.494995
0.118991,825.964966,1645.280029,414.869995
0.129003,830.627014,1642.660034,378.872009
0.139006,831.930969,1514.089966,387.511993
0.148975,832.843994,1470.839966,366.474976
0.158992,833.979004,1390.890015,357.216003
0.168995,836.638977,1352.309937,328.22998
0.178992,835.758972,1313.189941,303.785004
0.188999,838.963989,1251.77002,283.540009
0.198988,842.708984,1204.01001,257.56601
0.209008,841.637024,1133.640015,242.406998
0.21901,845.345032,1088.839966,215.079987
0.238071,848.835999,970.914001,166.218994
0.258038,849.442017,868.789001,111.098
0.268004,852.11499,791.108032,94.838097
0.278007,854.709961,743.475952,64.635498
0.288064,856.194031,678.999023,43.2225
0.297981,854.201965,669.968994,51.127998
0.308008,853.026978,650.739014,67.604599
0.318018,853.778992,588.161987,109.796997
0.328035,854.304016,570.929993,123.171005
0.338017,854.991028,512.256958,159.34201
0.347977,852.468018,495.804993,170.410004
0.358019,853.173035,440.123993,204.716995
0.368016,853.112,417.164001,218.632996
0.387024,854.455994,336.048004,259.312012
0.397021,851.614014,315.084015,268.889984
0.407023,852.006042,281.039001,282.914001
0.417066,852.616028,234.175995,302.934998
0.427011,853.343994,208.306,311.770996
0.437015,852.237,176.427002,323.439972
0.447011,853.731995,145.5,331.738007
0.45701,850.754028,90.573105,355.843994
0.467019,849.933044,79.792099,350.423981
0.477,850.856995,28.1061,367.460022
0.487017,850.197998,5.83077,366.445007
0.497032,848.828003,-26.6982,371.892975
0.50701,848.550049,-58.836601,376.031006
0.517008,849.051025,-110.624001,391.440002

0,607.27301,2323.139893,510.93103
0.010003,602.478027,2276.360107,507.518005
0.019989,598.590027,2190.649902,511.855011
0.030029,596.607971,2109.610107,510.162994
0.039994,592.645996,2046.960083,507.053986
0.05001,586.325012,2003.839966,495.509003
0.059037,584.346985,1930.680054,487.248016
0.079003,578.221985,1820.23999,466.01001
